Title	Url	DatasetType	Agency	AgencyContact	AgencyContactEmail	AgencyContactPhone	Description	Format	UpdateFrequency	Cost	CostInformation	SubmissionSource	Licence	LicenceURL	Date listed	Date last updated	DatasetLastUpdated	DatasetCreation	Guid
Supplier codes and names	http://www.customs.govt.nz/news/utilities/web-services/extracting-data/Pages/default.aspx	dataset	New Zealand Customs Service	New Zealand Customs Service	OpenDataGroup@customs.govt.nz	+4 901 4500	Also available via csv download at http://www.customs.govt.nz/news/utilities/Pages/Supplier-Codes.aspxA supplier code is a unique number that identifies the supplier of the goods imported into or exported out of New Zealand. For imports valued at NZ$1,000 or more, a supplier code is required. If you have any queries please call the National Contact Centre on 0800 4 CUSTOMS (0800 428 786). Further details of the process and examples are explained in the Instructions on using Customs' web services (http://www.customs.govt.nz/news/utilities/web-services/documentation/Pages/default.aspx) section.	WebServiceXML	Daily	No		Manual	Creative Commons Attribution-NoDerivatives 4.0 International		2015-08-27 08:27:55		2015-08-27 00:00:00	2014-10-21 00:00:00	
Wanganui Food premises gradings	http://wdc.wanganui.govt.nz/odata/xml/	dataset	Wanganui District Council	Jay Paterson	wdc@wanganui.govt.nz	06 3490001	Food outlet health ratings	CSV	Daily	No		Manual	No known New Zealand copyright-related restrictions on re-use		2015-07-03 14:12:21		2015-07-03 00:00:00	2015-06-10 00:00:00	
'Ala Mo’ui Progress Report June 2015	http://www.health.govt.nz/publication/ala-moui-progress-report-june-2015	dataset	Ministry of Health	Pacific Health	info@health.govt.nz	0800 855 066	This is the first published six-monthly progress report on the implementation of the 'Ala Mo’ui. It covers the period from December 2014 to June 2015. It presents results to June 2015 for the 21 quantitative indicator measures monitored in 'Ala Mo’ui. The indicator results are presented at a national level (total New Zealand population and total Pacific population) and at a district health board level (by the eight Pacific priority DHBs).This report shows areas where the health sector is performing well for Pacific peoples and where further improvement is needed. The 'Ala Mo’ui supports the Ministry of Health, district health boards and the wider health sector to identify and prioritise areas for national and local improvement in the provision of health services to Pacific peoples in New Zealand.	Spreadsheet	6-Monthly	No		Manual	Creative Commons Attribution 4.0 International		2015-09-07 10:30:27		2015-09-02 00:00:00	2015-09-02 00:00:00	
01 North Cape (Otau) 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3728-01-north-cape-otau-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.</p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:38	2011-07-19 00:06:38	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3728
02 Kaikohe 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3729-02-kaikohe-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.</p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:39	2011-07-19 00:06:39	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3729
03 Warkworth 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3735-03-warkworth-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:45	2011-07-19 00:06:45	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3735
04 Dargaville 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3731-04-dargaville-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:43	2011-07-19 00:06:43	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3731
05 Auckland 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3732-05-auckland-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series. Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:44	2011-07-19 00:06:44	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3732
06 Tauranga 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3730-06-tauranga-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:41	2011-07-19 00:06:41	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3730
07 East Cape 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3733-07-east-cape-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:45	2011-07-19 00:06:45	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3733
